Name,Description,Brain_MD_12,Brain_MD_61,Brain_MD_15,Brain_MD_57,Brain_MD_33,Brain_MD_64,Brain_MD_17,Brain_MD_62,Brain_MD_63,Brain_MD_32,Brain_MGlio_1,Brain_MGlio_2,Brain_MGlio_3,Brain_MGlio_4,Brain_MGlio_5,Brain_MGlio_6,Brain_MGlio_7,Brain_MGlio_8,Brain_MGlio_9,Brain_MGlio_10,Brain_Rhab_1,Brain_Rhab_2,Brain_Rhab_3,Brain_Rhab_4,Brain_Rhab_5,Brain_Rhab_6,Brain_Rhab_7,Brain_Rhab_8,Brain_Rhab_9,Brain_Rhab_10,Brain_Ncer_1,Brain_Ncer_2,Brain_Ncer_3,Brain_Ncer_4
AFFX-BioB-5_at,AFFX-BioB-5_at (endogenous control),0.000000 ,16.000000 ,34.000000 ,0.000000 ,0.000000 ,33.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 
AFFX-BioB-M_at,AFFX-BioB-M_at (endogenous control),0.783254 ,0.686345 ,0.742425 ,0.715047 ,0.824727 ,0.609095 ,0.641957 ,0.133697 ,0.876764 ,0.630647 ,0.874379 ,1.000000 ,0.999926 ,0.760780 ,0.962032 ,0.864297 ,0.966868 ,1.000000 ,0.886756 ,1.000000 ,0.874832 ,0.952041 ,0.908422 ,0.963689 ,0.947804 ,1.000000 ,0.961401 ,0.969037 ,0.987623 ,1.000000 ,0.713406 ,1.000000 ,0.826891 ,0.980174 
AFFX-BioB-3_at,AFFX-BioB-3_at (endogenous control),0.000000 ,0.000000 ,163.000000 ,60.000000 ,0.000000 ,0.000000 ,97.000000 ,0.000000 ,87.000000 ,0.000000 ,0.000000 ,180.000000 ,534.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,341.000000 ,714.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,490.000000 ,0.000000 ,226.000000 
AFFX-BioC-5_at,AFFX-BioC-5_at (endogenous control),92.146103 ,9.726111 ,42.436327 ,95.254763 ,328.024637 ,0.000000 ,0.000000 ,367.762663 ,144.674378 ,0.000000 ,9.048691 ,0.000000 ,239.980704 ,314.251060 ,441.040676 ,73.404178 ,535.309131 ,51.999999 ,338.295284 ,407.999965 ,110.167513 ,108.420053 ,0.000000 ,71.475482 ,93.308679 ,67.000000 ,181.875188 ,154.878129 ,0.000000 ,215.000000 ,731.824421 ,627.000000 ,216.592232 ,861.799382 
AFFX-BioC-3_at,AFFX-BioC-3_at (endogenous control),0.783254 ,0.686345 ,0.742425 ,0.715047 ,0.824727 ,0.609095 ,0.641957 ,0.133697 ,0.876764 ,0.630647 ,0.874379 ,1.000000 ,0.999926 ,0.760780 ,0.962032 ,0.864297 ,0.966868 ,1.000000 ,0.886756 ,1.000000 ,0.874832 ,0.952041 ,0.908422 ,0.963689 ,0.947804 ,1.000000 ,0.961401 ,0.969037 ,0.987623 ,1.000000 ,0.713406 ,1.000000 ,0.826891 ,0.980174 
AFFX-BioDn-5_at,AFFX-BioDn-5_at (endogenous control),0.783254 ,0.686345 ,0.742425 ,0.715047 ,0.824727 ,0.609095 ,0.641957 ,0.133697 ,0.876764 ,0.630647 ,0.874379 ,1.000000 ,0.999926 ,0.760780 ,0.962032 ,0.864297 ,0.966868 ,1.000000 ,0.886756 ,1.000000 ,0.874832 ,0.952041 ,0.908422 ,0.963689 ,0.947804 ,1.000000 ,0.961401 ,0.969037 ,0.987623 ,1.000000 ,0.713406 ,1.000000 ,0.826891 ,0.980174 
AFFX-BioDn-3_at,AFFX-BioDn-3_at (endogenous control),0.000000 ,94.101426 ,0.000000 ,86.027554 ,0.000000 ,0.000000 ,264.378075 ,166.935624 ,0.000000 ,657.314564 ,1120.541154 ,1179.999994 ,0.000000 ,0.000000 ,1066.286311 ,0.000000 ,904.306572 ,911.999997 ,1014.271467 ,929.999916 ,0.000000 ,0.000000 ,61.803425 ,0.000000 ,1285.400225 ,0.000000 ,0.000000 ,0.000000 ,302.269683 ,436.000000 ,689.002886 ,0.000000 ,0.000000 ,578.617047 
AFFX-CreX-5_at,AFFX-CreX-5_at (endogenous control),0.783254 ,0.686345 ,0.742425 ,0.715047 ,0.824727 ,0.609095 ,0.641957 ,0.133697 ,0.876764 ,0.630647 ,0.874379 ,1.000000 ,0.999926 ,0.760780 ,0.962032 ,0.864297 ,0.966868 ,1.000000 ,0.886756 ,1.000000 ,0.874832 ,0.952041 ,0.908422 ,0.963689 ,0.947804 ,1.000000 ,0.961401 ,0.969037 ,0.987623 ,1.000000 ,0.713406 ,1.000000 ,0.826891 ,0.980174 
AFFX-CreX-3_at,AFFX-CreX-3_at (endogenous control),0.000000 ,205.654637 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,39.077157 ,41.663344 ,0.000000 ,0.000000 ,111.045440 ,228.999999 ,0.000000 ,0.000000 ,75.084566 ,0.000000 ,81.583250 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,51.255507 ,0.000000 ,119.000000 ,13.019506 ,0.000000 ,24.723626 ,0.000000 ,297.445285 ,0.000000 ,0.000000 ,102.955416 
AFFX-BioB-5_st,AFFX-BioB-5_st (endogenous control),319.805975 ,58.233908 ,0.000000 ,0.000000 ,0.000000 ,91.849576 ,0.000000 ,150.403217 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,192.981094 ,47.191226 ,0.000000 ,0.000000 ,854.117576 ,0.000000 ,6.971093 ,148.344793 ,42.834755 ,1196.418502 ,325.226771 ,16.000000 ,0.000000 ,0.000000 ,0.000000 ,205.000000 ,45.374684 ,0.000000 ,242.320581 ,115.768269 
